  Frame_#         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      529        0.270        3.657            0      298.384       76.728      176.808
      530        0.248        3.597            0      295.294       76.667      172.463
      531        0.328        3.604            0      296.000       97.850      176.057
      532        0.209        3.595            0      295.686       99.113      176.856
      533        0.319        3.648            0      296.696       88.143      173.425
      534        0.242        3.626            0      296.004       72.525      170.562
      535        0.380        3.620            0      295.961       99.317      173.706
      536        0.226        3.608            0      297.193       92.812      174.979
      537        0.284        3.609            0      297.214       86.099      174.467
      538        0.339        3.608            0      296.457       88.827      178.844
      539        0.277        3.633            0      298.116       94.103      174.713
      540        0.398        3.624            0      294.819       81.829      175.377
      541        0.340        3.676            0      298.373       92.504      174.302
      542        0.274        3.608            0      295.081       63.238      177.087
      543        0.275        3.603            0      293.873       67.034      170.005
      544        0.262        3.610            0      295.783       86.312      171.183
      545        0.353        3.671            0      298.399      102.526      178.016
      546        0.326        3.625            0      297.304       88.808      176.259
      547        0.234        3.618            0      297.365      100.288      173.509
      548        0.373        3.623            0      296.787       97.791      173.356
      549        0.207        3.599            0      296.059       89.965      172.398
      550        0.311        3.652            0      297.713       91.531      177.795
