NatID,SMILES
404,C=C1C(=O)O[C@@H]2C=C(C)CCC=C(C(=O)OC)[C@H](O)[C@@H](OC(=O)C(C)=CC)[C@@H]12
405,C=C1C(=O)O[C@@H]2C=C(C)CCC=C(C(=O)OC)[C@H](O)[C@@H](O)[C@@H]12
406,CC1(C)CCC[C@@]2(C)[C@H]1CC=C(C=O)[C@@H]2C=O
407,CC1=CC(=O)[C@@H]2CC[C@H]3[C@@H](C(C)C)CC[C@]3(C)C[C@@]12O
408,CC(C)[C@H]1CC[C@]2(C)CC3=C(CC[C@@H]12)C(=O)C[C@@]3(C)O
409,CC(C)[C@H]1CC[C@]2(C)C[C@]3(O)C(=CC(=O)[C@H]3C)[C@@H](C)CC[C@@H]12
410,CC1=C2C[C@@]3(C)CC[C@H](C(C)C)[C@@H]3CC[C@H](C)[C@]2(O)CC1=O
411,C[C@@H]1CC[C@@]2(C)C(=O)c3ccoc3C[C@@]12C
412,CC(=O)OC[C@@]12Cc3occc3C(=O)[C@]1(C)CC[C@H]2C
413,COC(=O)[C@@]12Cc3occc3C(=O)[C@]1(C)CC[C@H]2C
414,CC1(C)[C@H]2CC[C@](C)(O)[C@H]3CC[C@@](C)(O)[C@@H]3[C@H]21
416,O=C(COC(=O)c1ccccc1)c1ccc(Br)cc1
417,C=C1[C@@H](O)C[C@H]2C(C)(C)CCC[C@]2(C)[C@@]12C[C@@](C)(CC(=O)O)CO2
