  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      520        0.187        3.452            0      306.494      214.265      164.971
      521        0.238        3.473            0      307.155      216.532      158.107
      522        0.305        3.451            0      306.151      210.254      163.373
      523        0.224        3.432            0      306.012      196.313      162.338
      524        0.153        3.464            0      308.191      225.004      164.832
      525        0.280        3.511            0      307.808      176.273      162.223
      526        0.231        3.449            0      303.405      154.721      163.567
      527        0.241        3.419            0      303.998      130.901      162.277
      528        0.182        3.428            0      304.568      163.517      164.464
      529        0.415        3.418            0      304.499      141.235      164.866
      530        0.257        3.481            0      307.519      170.830      159.008
      531        0.302        3.419            0      306.374      154.050      163.310
      532        0.350        3.482            0      308.903      111.784      164.305
      533        0.312        3.393            0      305.056      136.553      162.879
      534        0.302        3.423            0      303.938      102.235      162.016
      535        0.195        3.427            0      305.440      114.715      164.750
      536        0.154        3.496            0      308.757      137.247      161.007
      537        0.239        3.530            0      309.053      113.328      160.798
      538        0.209        3.396            0      301.610      133.349      158.911
      539        0.273        3.502            0      307.987      112.990      158.444
      540        0.164        3.488            0      306.664      131.228      161.579
      541        0.164        3.479            0      307.908      138.790      162.760
      542        0.254        3.462            0      306.925      117.781      163.640
      543        0.177        3.463            0      304.411      133.283      159.990
      544        0.203        3.453            0      306.355      128.304      162.385
      545        0.208        3.454            0      305.087      130.206      165.139
      546        0.245        3.522            0      308.990      114.348      159.038
      547        0.296        3.521            0      307.639      131.222      158.309
      548        0.193        3.490            0      306.960      131.880      161.560
      549        0.317        3.509            0      306.815      148.675      159.954
      550        0.224        3.399            0      302.278      153.106      161.587
